bookID,title,authors,average_rating,language_code,  num_pages,publisher,Imp_Features,bookID_idx
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,Penguin Classics,The Portrait of a Lady Henry James/Patricia Crick Penguin Classics,115
277,Writing,Marguerite Duras,3.75,eng,91,Brookline Books,Writing Marguerite Duras Brookline Books,116
278,The War,Marguerite Duras/Barbara Bray,3.85,eng,192,The New Press,The War Marguerite Duras/Barbara Bray The New Press,117
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,en-US,181,Pantheon,The Ravishing of Lol Stein Marguerite Duras/Richard Seever Pantheon,118
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178,One World (UK),Love Letters Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari One World (UK),119
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464,Interlink Publishing Group,Kahlil Gibran: His Life and World Jean Gibran/جبران خليل جبران/Kahlil Gibran Interlink Publishing Group,120
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,eng,102,Penguin Books,The Beloved: Reflections on the Path of the Heart Kahlil Gibran/John Walbridge/Robin Waterfield Penguin Books,121
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,eng,216,Knopf,Jesus the Son of Man Kahlil Gibran/جبران خليل جبران Knopf,122
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,eng,132,Citadel,The Broken Wings Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris Citadel,123
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,eng,100,Knopf,Sand and Foam Kahlil Gibran/جبران خليل جبران Knopf,124
295,Treasure Island,Robert Louis Stevenson,3.83,eng,311,Kingfisher,Treasure Island Robert Louis Stevenson Kingfisher,125
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,232,Abdo Publishing Company,Treasure Island (Great Illustrated Classics) Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson Abdo Publishing Company,126
313,100 Years of Lynchings,Ralph Ginzburg,4.61,eng,270,Black Classic Press,100 Years of Lynchings Ralph Ginzburg Black Classic Press,127
330,On Beyond Zebra!,Dr. Seuss,4.04,eng,64,Random House Books for Young Readers,On Beyond Zebra! Dr. Seuss Random House Books for Young Readers,128
332,The Wedding Clause,Debbie Raleigh,3.6,eng,256,Zebra,The Wedding Clause Debbie Raleigh Zebra,129
333,The Zebra Wall,Kevin Henkes,3.44,eng,147,Greenwillow Books,The Zebra Wall Kevin Henkes Greenwillow Books,130
348,The Door Into Summer,Robert A. Heinlein,4.01,eng,304,Del Rey,The Door Into Summer Robert A. Heinlein Del Rey,131
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,eng,528,Ace,Stranger in a Strange Land Robert A. Heinlein Ace,132
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,en-US,434,Ace Books,To Sail Beyond the Sunset Robert A. Heinlein Ace Books,133
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,en-US,439,Del Rey,Job: A Comedy of Justice Robert A. Heinlein Del Rey,134
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,eng,256,Tor Books,Time for the Stars (Heinlein's Juveniles  #10) Robert A. Heinlein Tor Books,135
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,en-US,307,Pocket Books,The Long Dark Tea-Time of the Soul (Dirk Gently  #2) Douglas Adams Pocket Books,136
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,eng,298,Del Rey,The Salmon of Doubt (Dirk Gently  #3) Douglas Adams Del Rey,137
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,eng,368,Del Rey,Wish You Were Here: The Official Biography of Douglas Adams Nick  Webb Del Rey,138
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,eng,256,Ballantine Books,Douglas Adams's Starship Titanic Terry Jones Ballantine Books,139
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,eng,336,Turtleback Books,Salmon of Doubt: Hitchhiking the Galaxy One Last Time Douglas Adams/Christopher Cerf Turtleback Books,140
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,eng,72,Samuel French  Inc.,The Phantom Tollbooth: A Children's Play in Two Acts Susan Nanus/Norton Juster Samuel French  Inc.,141
385,On Bullshit,Harry G. Frankfurt,3.57,eng,67,Princeton University Press,On Bullshit Harry G. Frankfurt Princeton University Press,142
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,eng,347,W. W. Norton & Company,Another Bullshit Night in Suck City Nick Flynn W. W. Norton & Company,143
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,en-US,317,Simon & Schuster,Lincoln at Gettysburg: The Words That Remade America Garry Wills Simon & Schuster,144
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,eng,32,HMH Books for Young Readers,The Gettysburg Address Abraham Lincoln/Michael McCurdy HMH Books for Young Readers,145
399,Underworld,Don DeLillo,3.92,eng,827,Scribner,Underworld Don DeLillo Scribner,146
400,Libra,Don DeLillo,3.99,eng,480,Penguin,Libra Don DeLillo Penguin,147
